iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate
IRN,Asia,Iran,12/31/2021,6194401,1703,1802.429,131606,34,42.857,72850.657,20.029,21.198,1547.782,0.4,0.504,0.85
IRN,Asia,Iran,1/1/2022,6195403,1002,1785.429,131639,33,41.571,72862.441,11.784,20.998,1548.17,0.388,0.489,0.87
IRN,Asia,Iran,1/2/2022,6196913,1510,1735.857,131680,41,40,72880.2,17.759,20.415,1548.652,0.482,0.47,0.84
IRN,Asia,Iran,1/3/2022,6198590,1677,1694.429,131702,22,38.286,72899.922,19.723,19.928,1548.911,0.259,0.45,0.8
IRN,Asia,Iran,1/4/2022,6200296,1706,1634.143,131736,34,37.429,72919.986,20.064,19.219,1549.311,0.4,0.44,0.77
IRN,Asia,Iran,1/5/2022,6201467,1171,1529.286,131778,42,35.857,72933.758,13.772,17.986,1549.805,0.494,0.422,0.72
IRN,Asia,Iran,1/6/2022,6203046,1579,1478.286,131802,24,32.857,72952.328,18.57,17.386,1550.087,0.282,0.386,0.78
IRN,Asia,Iran,1/7/2022,6204224,1178,1403.286,131821,19,30.714,72966.182,13.854,16.504,1550.311,0.223,0.361,0.79
IRN,Asia,Iran,1/8/2022,6204925,701,1360.286,131847,26,29.714,72974.427,8.244,15.998,1550.617,0.306,0.349,0.9
IRN,Asia,Iran,1/9/2022,6206405,1480,1356,131878,31,28.286,72991.832,17.406,15.948,1550.981,0.365,0.333,1.01
IRN,Asia,Iran,1/10/2022,6208337,1932,1392.429,131915,37,30.429,73014.554,22.722,16.376,1551.416,0.435,0.358,1.1
IRN,Asia,Iran,1/11/2022,6210298,1961,1428.857,131940,25,29.143,73037.617,23.063,16.804,1551.71,0.294,0.343,1.15
IRN,Asia,Iran,1/12/2022,6212387,2089,1560,131972,32,27.714,73062.185,24.568,18.347,1552.087,0.376,0.326,1.24
IRN,Asia,Iran,1/13/2022,6214781,2394,1676.429,132002,30,28.571,73090.34,28.155,19.716,1552.439,0.353,0.336,1.3
IRN,Asia,Iran,1/14/2022,6217320,2539,1870.857,132026,24,29.286,73120.201,29.86,22.003,1552.722,0.282,0.344,1.34
IRN,Asia,Iran,1/15/2022,6218741,1421,1973.714,132044,18,28.143,73136.913,16.712,23.212,1552.933,0.212,0.331,1.32
IRN,Asia,Iran,1/16/2022,6221033,2292,2089.714,132075,31,28.143,73163.868,26.956,24.577,1553.298,0.365,0.331,1.37
IRN,Asia,Iran,1/17/2022,6224196,3163,2265.571,132095,20,25.714,73201.067,37.199,26.645,1553.533,0.235,0.302,1.47
IRN,Asia,Iran,1/18/2022,6227849,3653,2507.286,132113,18,24.714,73244.029,42.962,29.488,1553.745,0.212,0.291,1.59
IRN,Asia,Iran,1/19/2022,6231909,4060,2788.857,132132,19,22.857,73291.778,47.749,32.799,1553.968,0.223,0.269,1.67
IRN,Asia,Iran,1/20/2022,6236567,4658,3112.286,132152,20,21.429,73346.559,54.781,36.603,1554.204,0.235,0.252,1.72
IRN,Asia,Iran,1/21/2022,6241843,5276,3503.286,132172,20,20.857,73408.609,62.05,41.201,1554.439,0.235,0.245,1.74
IRN,Asia,Iran,1/22/2022,6245346,3503,3800.714,132202,30,22.571,73449.807,41.198,44.699,1554.792,0.353,0.265,1.72
IRN,Asia,Iran,1/23/2022,6250490,5144,4208.143,132230,28,22.143,73510.304,60.497,49.491,1555.121,0.329,0.26,1.76
IRN,Asia,Iran,1/24/2022,6258181,7691,4855,132251,21,22.286,73600.756,90.452,57.098,1555.368,0.247,0.262,1.95
IRN,Asia,Iran,1/25/2022,6267559,9378,5672.857,132274,23,23,73711.048,110.292,66.717,1555.638,0.27,0.27,2.11
IRN,Asia,Iran,1/26/2022,6279410,11851,6785.857,132303,29,24.429,73850.424,139.376,79.807,1555.979,0.341,0.287,2.26
IRN,Asia,Iran,1/27/2022,6293695,14285,8161.143,132333,30,25.857,74018.426,168.002,95.981,1556.332,0.353,0.304,2.3
IRN,Asia,Iran,1/28/2022,6310452,16757,9801.286,132356,23,26.286,74215.501,197.074,115.27,1556.603,0.27,0.309,2.27
IRN,Asia,Iran,1/29/2022,6322183,11731,10976.714,132380,24,25.429,74353.466,137.965,129.094,1556.885,0.282,0.299,2.19
IRN,Asia,Iran,1/30/2022,6344179,21996,13384.143,132424,44,27.714,74612.155,258.689,157.407,1557.402,0.517,0.326,2.35
IRN,Asia,Iran,1/31/2022,6373174,28995,16427.571,132454,30,29,74953.157,341.002,193.2,1557.755,0.353,0.341,2.39
IRN,Asia,Iran,2/1/2022,6408244,35070,20097.857,132504,50,32.857,75365.606,412.449,236.365,1558.343,0.588,0.386,2.34
IRN,Asia,Iran,2/2/2022,6446404,38160,23856.286,132563,59,37.143,75814.395,448.789,280.567,1559.037,0.694,0.437,2.16
IRN,Asia,Iran,2/3/2022,6483799,37395,27157.714,132624,61,41.571,76254.187,439.792,319.394,1559.755,0.717,0.489,1.91
IRN,Asia,Iran,2/4/2022,6520707,36908,30036.429,132681,57,46.429,76688.252,434.065,353.25,1560.425,0.67,0.546,1.69
IRN,Asia,Iran,2/5/2022,6543837,23130,31664.857,132745,64,52.143,76960.278,272.026,372.402,1561.178,0.753,0.613,1.54
IRN,Asia,Iran,2/6/2022,6579266,35429,33583.857,132830,85,58,77376.949,416.671,394.971,1562.177,1,0.682,1.45
IRN,Asia,Iran,2/7/2022,6619085,39819,35130.143,132934,104,68.571,77845.249,468.3,413.156,1563.4,1.223,0.806,1.36
IRN,Asia,Iran,2/8/2022,6657842,38757,35656.857,133048,114,77.714,78301.06,455.81,419.351,1564.741,1.341,0.914,1.27
IRN,Asia,Iran,2/9/2022,6696927,39085,35789,133164,116,85.857,78760.728,459.668,420.905,1566.105,1.364,1.01,1.21
IRN,Asia,Iran,2/10/2022,6730608,33681,35258.429,133294,130,95.714,79156.841,396.113,414.665,1567.634,1.529,1.126,1.1
IRN,Asia,Iran,2/11/2022,6761855,31247,34449.714,133437,143,108,79524.328,367.487,405.154,1569.316,1.682,1.27,1.03
IRN,Asia,Iran,2/12/2022,6780453,18598,33802.286,133570,133,117.857,79743.054,218.726,397.539,1570.88,1.564,1.386,0.99
IRN,Asia,Iran,2/13/2022,6806265,25812,32428.429,133718,148,126.857,80046.622,303.568,381.382,1572.621,1.741,1.492,0.9
IRN,Asia,Iran,2/14/2022,6835221,28956,30876.571,133886,168,136,80387.165,340.544,363.131,1574.597,1.976,1.599,0.81
IRN,Asia,Iran,2/15/2022,6860255,25034,28916.143,134053,167,143.571,80681.584,294.418,340.075,1576.561,1.964,1.689,0.71
IRN,Asia,Iran,2/16/2022,6876565,16310,25662.571,134238,185,153.429,80873.401,191.817,301.81,1578.736,2.176,1.804,0.64
IRN,Asia,Iran,2/17/2022,6894110,17545,23357.429,134420,182,160.857,81079.743,206.342,274.7,1580.877,2.14,1.892,0.67
IRN,Asia,Iran,2/18/2022,6913427,19317,21653.143,134607,187,167.143,81306.925,227.182,254.657,1583.076,2.199,1.966,0.75
IRN,Asia,Iran,2/19/2022,6925485,12058,20718.857,134798,191,175.429,81448.736,141.811,243.669,1585.322,2.246,2.063,0.8
IRN,Asia,Iran,2/20/2022,6942452,16967,19455.286,135040,242,188.857,81648.28,199.544,228.808,1588.169,2.846,2.221,0.78
IRN,Asia,Iran,2/21/2022,6961562,19110,18048.714,135276,236,198.571,81873.027,224.747,212.266,1590.944,2.776,2.335,0.75
IRN,Asia,Iran,2/22/2022,6983635,22073,17625.714,135499,223,206.571,82132.622,259.595,207.291,1593.567,2.623,2.429,0.76
IRN,Asia,Iran,2/23/2022,6998975,15340,17487.143,135726,227,212.571,82313.031,180.41,205.662,1596.236,2.67,2.5,0.7
IRN,Asia,Iran,2/24/2022,7011932,12957,16831.714,135952,226,218.857,82465.415,152.384,197.953,1598.894,2.658,2.574,0.65
IRN,Asia,Iran,2/25/2022,7023904,11972,15782.429,136166,214,222.714,82606.215,140.799,185.613,1601.411,2.517,2.619,0.65
IRN,Asia,Iran,2/26/2022,7030943,7039,15065.429,136390,224,227.429,82688.998,82.784,177.18,1604.046,2.634,2.675,0.65
IRN,Asia,Iran,2/27/2022,7040467,9524,14002.143,136631,241,227.286,82801.008,112.009,164.675,1606.88,2.834,2.673,0.6
IRN,Asia,Iran,2/28/2022,7051429,10962,12838.143,136838,207,223.143,82929.929,128.921,150.986,1609.314,2.434,2.624,0.54
IRN,Asia,Iran,3/1/2022,7060741,9312,11015.143,137064,226,223.571,83039.445,109.516,129.546,1611.972,2.658,2.629,0.48
IRN,Asia,Iran,3/2/2022,7066975,6234,9714.286,137267,203,220.143,83112.761,73.316,114.247,1614.36,2.387,2.589,0.46
IRN,Asia,Iran,3/3/2022,7073747,6772,8830.714,137439,172,212.429,83192.405,79.644,103.856,1616.383,2.023,2.498,0.5
IRN,Asia,Iran,3/4/2022,7080217,6470,8044.714,137593,154,203.857,83268.496,76.092,94.612,1618.194,1.811,2.398,0.56
IRN,Asia,Iran,3/5/2022,7084306,4089,7623.286,137747,154,193.857,83316.586,48.09,89.655,1620.005,1.811,2.28,0.59
IRN,Asia,Iran,3/6/2022,7089892,5586,7060.714,137948,201,188.143,83382.281,65.695,83.039,1622.369,2.364,2.213,0.57
IRN,Asia,Iran,3/7/2022,7096318,6426,6412.714,138116,168,182.571,83457.856,75.574,75.418,1624.345,1.976,2.147,0.54
IRN,Asia,Iran,3/8/2022,7102159,5841,5916.857,138260,144,170.857,83526.55,68.694,69.587,1626.038,1.694,2.009,0.53
IRN,Asia,Iran,3/9/2022,7107167,5008,5741.714,138433,173,166.571,83585.448,58.898,67.527,1628.073,2.035,1.959,0.56
IRN,Asia,Iran,3/10/2022,7113591,6424,5692,138572,139,161.857,83660.999,75.551,66.942,1629.707,1.635,1.904,0.63
IRN,Asia,Iran,3/11/2022,7117544,3953,5332.429,138711,139,159.714,83707.489,46.49,62.713,1631.342,1.635,1.878,0.59
IRN,Asia,Iran,3/12/2022,7119763,2219,5065.286,138831,120,154.857,83733.586,26.097,59.571,1632.753,1.411,1.821,0.57
IRN,Asia,Iran,3/13/2022,7123093,3330,4743,138949,118,143,83772.749,39.163,55.781,1634.141,1.388,1.682,0.53
IRN,Asia,Iran,3/14/2022,7126906,3813,4369.714,139063,114,135.286,83817.593,44.844,51.391,1635.482,1.341,1.591,0.49
IRN,Asia,Iran,3/15/2022,7130129,3223,3995.714,139180,117,131.429,83855.498,37.905,46.993,1636.858,1.376,1.546,0.46
IRN,Asia,Iran,3/16/2022,7133139,3010,3710.286,139289,109,122.286,83890.898,35.4,43.636,1638.14,1.282,1.438,0.48
IRN,Asia,Iran,3/17/2022,7135719,2580,3161.143,139387,98,116.429,83921.24,30.343,37.177,1639.292,1.153,1.369,0.49
IRN,Asia,Iran,3/18/2022,7137894,2175,2907.143,139478,91,109.571,83946.82,25.58,34.19,1640.363,1.07,1.289,0.51
IRN,Asia,Iran,3/19/2022,7139217,1323,2779.143,139550,72,102.714,83962.379,15.559,32.685,1641.209,0.847,1.208,0.51
IRN,Asia,Iran,3/20/2022,7141033,1816,2562.857,139610,60,94.429,83983.737,21.357,30.141,1641.915,0.706,1.111,0.44
IRN,Asia,Iran,3/21/2022,7142287,1254,2197.286,139662,52,85.571,83998.485,14.748,25.842,1642.527,0.612,1.006,0.31
IRN,Asia,Iran,3/22/2022,7143409,1122,1897.143,139735,73,79.286,84011.68,13.196,22.312,1643.385,0.859,0.932,0.29
IRN,Asia,Iran,3/23/2022,7144532,1123,1627.571,139802,67,73.286,84024.888,13.207,19.141,1644.173,0.788,0.862,0.36
IRN,Asia,Iran,3/24/2022,7145877,1345,1451.143,139865,63,68.286,84040.706,15.818,17.066,1644.914,0.741,0.803,0.5
IRN,Asia,Iran,3/25/2022,7147407,1530,1359,139917,52,62.714,84058.7,17.994,15.983,1645.526,0.612,0.738,0.67
IRN,Asia,Iran,3/26/2022,7148789,1382,1367.429,139971,54,60.143,84074.953,16.253,16.082,1646.161,0.635,0.707,0.84
IRN,Asia,Iran,3/27/2022,7151088,2299,1436.429,140021,50,58.714,84101.991,27.038,16.893,1646.749,0.588,0.691,1.01
IRN,Asia,Iran,3/28/2022,7154003,2915,1673.714,140063,42,57.286,84136.273,34.283,19.684,1647.243,0.494,0.674,1.06
IRN,Asia,Iran,3/29/2022,7156746,2743,1905.286,140109,46,53.429,84168.533,32.26,22.408,1647.784,0.541,0.628,1.05
IRN,Asia,Iran,3/30/2022,7159733,2987,2171.571,140158,49,50.857,84203.662,35.129,25.539,1648.36,0.576,0.598,1.08
IRN,Asia,Iran,3/31/2022,7162220,2487,2334.714,140204,46,48.429,84232.911,29.249,27.458,1648.901,0.541,0.57,1.03
IRN,Asia,Iran,4/1/2022,7164484,2264,2439.571,140240,36,46.143,84259.538,26.626,28.691,1649.324,0.423,0.543,1
IRN,Asia,Iran,4/2/2022,7166371,1887,2511.714,140277,37,43.714,84281.73,22.192,29.54,1649.759,0.435,0.514,1
IRN,Asia,Iran,4/3/2022,7167646,1275,2365.429,140315,38,42,84296.725,14.995,27.819,1650.206,0.447,0.494,0.98
IRN,Asia,Iran,4/4/2022,7171165,3519,2451.714,140368,53,43.571,84338.111,41.386,28.834,1650.83,0.623,0.512,1.29
IRN,Asia,Iran,4/5/2022,7175780,4615,2719.143,140407,39,42.571,84392.387,54.276,31.979,1651.288,0.459,0.501,1.48
IRN,Asia,Iran,4/6/2022,7180008,4228,2896.429,140451,44,41.857,84442.111,49.724,34.064,1651.806,0.517,0.492,1.42
IRN,Asia,Iran,4/7/2022,7183808,3800,3084,140492,41,41.143,84486.802,44.691,36.27,1652.288,0.482,0.484,1.28
IRN,Asia,Iran,4/8/2022,7186992,3184,3215.429,140528,36,41.143,84524.248,37.446,37.816,1652.711,0.423,0.484,1.12
IRN,Asia,Iran,4/9/2022,7188749,1757,3196.857,140577,49,42.857,84544.912,20.664,37.597,1653.288,0.576,0.504,1
IRN,Asia,Iran,4/10/2022,7191643,2894,3428.143,140616,39,43,84578.947,34.036,40.317,1653.746,0.459,0.506,0.99
IRN,Asia,Iran,4/11/2022,7194768,3125,3371.857,140650,34,40.286,84615.699,36.752,39.655,1654.146,0.4,0.474,0.9
IRN,Asia,Iran,4/12/2022,7197505,2737,3103.571,140678,28,38.714,84647.889,32.189,36.5,1654.475,0.329,0.455,0.81
IRN,Asia,Iran,4/13/2022,7199861,2356,2836.143,140711,33,37.143,84675.597,27.708,33.355,1654.864,0.388,0.437,0.78
IRN,Asia,Iran,4/14/2022,7202055,2194,2606.714,140744,33,36,84701.4,25.803,30.657,1655.252,0.388,0.423,0.77
IRN,Asia,Iran,4/15/2022,7204049,1994,2436.714,140777,33,35.571,84724.851,23.451,28.658,1655.64,0.388,0.418,0.76
IRN,Asia,Iran,4/16/2022,7205064,1015,2330.714,140800,23,31.857,84736.788,11.937,27.411,1655.91,0.27,0.375,0.74
IRN,Asia,Iran,4/17/2022,7206959,1895,2188,140829,29,30.429,84759.074,22.287,25.732,1656.251,0.341,0.358,0.77
IRN,Asia,Iran,4/18/2022,7208968,2009,2028.571,140854,25,29.143,84782.702,23.627,23.857,1656.545,0.294,0.343,0.71
IRN,Asia,Iran,4/19/2022,7210788,1820,1897.571,140877,23,28.429,84804.106,21.405,22.317,1656.816,0.27,0.334,0.66
IRN,Asia,Iran,4/20/2022,7212395,1607,1790.571,140896,19,26.429,84823.006,18.899,21.058,1657.039,0.223,0.311,0.65
IRN,Asia,Iran,4/21/2022,7213808,1413,1679,140919,23,25,84839.624,16.618,19.746,1657.31,0.27,0.294,0.64
IRN,Asia,Iran,4/22/2022,7214904,1096,1550.714,140940,21,23.286,84852.513,12.89,18.238,1657.557,0.247,0.274,0.6
IRN,Asia,Iran,4/23/2022,7215512,608,1492.571,140952,12,21.714,84859.664,7.151,17.554,1657.698,0.141,0.255,0.57
IRN,Asia,Iran,4/24/2022,7216040,528,1297.286,140975,23,20.857,84865.874,6.21,15.257,1657.968,0.27,0.245,0.5
IRN,Asia,Iran,4/25/2022,7217117,1077,1164.143,140996,21,20.286,84878.54,12.666,13.691,1658.215,0.247,0.239,0.56
IRN,Asia,Iran,4/26/2022,7218424,1307,1090.857,141024,28,21,84893.911,15.371,12.829,1658.545,0.329,0.247,0.64
IRN,Asia,Iran,4/27/2022,7219433,1009,1005.429,141041,17,20.714,84905.778,11.867,11.825,1658.745,0.2,0.244,0.65
IRN,Asia,Iran,4/28/2022,7220402,969,942,141058,17,19.857,84917.174,11.396,11.079,1658.945,0.2,0.234,0.66
IRN,Asia,Iran,4/29/2022,7221121,719,888.143,141072,14,18.857,84925.63,8.456,10.445,1659.109,0.165,0.222,0.64
IRN,Asia,Iran,4/30/2022,7221653,532,877.286,141083,11,18.714,84931.887,6.257,10.318,1659.239,0.129,0.22,0.64
IRN,Asia,Iran,5/1/2022,7222308,655,895.429,141096,13,17.286,84939.59,7.703,10.531,1659.391,0.153,0.203,0.59
IRN,Asia,Iran,5/2/2022,7223005,697,841.143,141114,18,16.857,84947.787,8.197,9.892,1659.603,0.212,0.198,0.5
IRN,Asia,Iran,5/3/2022,7223576,571,736,141131,17,15.286,84954.502,6.715,8.656,1659.803,0.2,0.18,0.4
IRN,Asia,Iran,5/4/2022,7223828,252,627.857,141138,7,13.857,84957.466,2.964,7.384,1659.885,0.082,0.163,0.32
IRN,Asia,Iran,5/5/2022,7224056,228,522,141145,7,12.429,84960.148,2.681,6.139,1659.968,0.082,0.146,0.37
IRN,Asia,Iran,5/6/2022,7224431,375,472.857,141157,12,12.143,84964.558,4.41,5.561,1660.109,0.141,0.143,0.51
IRN,Asia,Iran,5/7/2022,7224701,270,435.429,141165,8,11.714,84967.733,3.175,5.121,1660.203,0.094,0.138,0.63
IRN,Asia,Iran,5/8/2022,7225189,488,411.571,141177,12,11.571,84973.473,5.739,4.84,1660.344,0.141,0.136,0.71
IRN,Asia,Iran,5/9/2022,7225759,570,393.429,141189,12,10.714,84980.176,6.704,4.627,1660.485,0.141,0.126,0.72
IRN,Asia,Iran,5/10/2022,7226219,460,377.571,141192,3,8.714,84985.586,5.41,4.441,1660.521,0.035,0.102,0.67
IRN,Asia,Iran,5/11/2022,7226672,453,406.286,141198,6,8.571,84990.914,5.328,4.778,1660.591,0.071,0.101,0.67
IRN,Asia,Iran,5/12/2022,7227043,371,426.714,141201,3,8,84995.277,4.363,5.018,1660.626,0.035,0.094,0.68
IRN,Asia,Iran,5/13/2022,7227428,385,428.143,141209,8,7.429,84999.805,4.528,5.035,1660.72,0.094,0.087,0.73
IRN,Asia,Iran,5/14/2022,7227683,255,426,141216,7,7.286,85002.804,2.999,5.01,1660.803,0.082,0.086,0.76
IRN,Asia,Iran,5/15/2022,7228051,368,408.857,141224,8,6.714,85007.132,4.328,4.808,1660.897,0.094,0.079,0.74
IRN,Asia,Iran,5/16/2022,7228434,383,382.143,141232,8,6.143,85011.636,4.504,4.494,1660.991,0.094,0.072,0.7
IRN,Asia,Iran,5/17/2022,7228786,352,366.714,141236,4,6.286,85015.776,4.14,4.313,1661.038,0.047,0.074,0.65
IRN,Asia,Iran,5/18/2022,7229074,288,343.143,141244,8,6.571,85019.163,3.387,4.036,1661.132,0.094,0.077,0.61
IRN,Asia,Iran,5/19/2022,7229354,280,330.143,141253,9,7.429,85022.456,3.293,3.883,1661.238,0.106,0.087,0.64
IRN,Asia,Iran,5/20/2022,7229582,228,307.714,141262,9,7.571,85025.137,2.681,3.619,1661.344,0.106,0.089,0.67
IRN,Asia,Iran,5/21/2022,7229741,159,294,141271,9,7.857,85027.007,1.87,3.458,1661.45,0.106,0.092,0.74
IRN,Asia,Iran,5/22/2022,7230053,312,286,141274,3,7.143,85030.677,3.669,3.364,1661.485,0.035,0.084,0.79
IRN,Asia,Iran,5/23/2022,7230321,268,269.571,141281,7,7,85033.829,3.152,3.17,1661.567,0.082,0.082,0.74
IRN,Asia,Iran,5/24/2022,7230589,268,257.571,141288,7,7.429,85036.98,3.152,3.029,1661.65,0.082,0.087,0.72
IRN,Asia,Iran,5/25/2022,7230882,293,258.286,141293,5,7,85040.426,3.446,3.038,1661.708,0.059,0.082,0.73
IRN,Asia,Iran,5/26/2022,7231099,217,249.286,141296,3,6.143,85042.978,2.552,2.932,1661.744,0.035,0.072,0.69
IRN,Asia,Iran,5/27/2022,7231284,185,243.143,141302,6,5.714,85045.154,2.176,2.86,1661.814,0.071,0.067,0.68
IRN,Asia,Iran,5/28/2022,7231387,103,235.143,141306,4,5,85046.365,1.211,2.765,1661.861,0.047,0.059,0.71
IRN,Asia,Iran,5/29/2022,7231562,175,215.571,141308,2,4.857,85048.424,2.058,2.535,1661.885,0.024,0.057,0.73
IRN,Asia,Iran,5/30/2022,7231802,240,211.571,141310,2,4.143,85051.246,2.823,2.488,1661.908,0.024,0.049,0.8
IRN,Asia,Iran,5/31/2022,7232034,232,206.429,141315,5,3.857,85053.975,2.728,2.428,1661.967,0.059,0.045,0.8
IRN,Asia,Iran,6/1/2022,7232268,234,198,141318,3,3.571,85056.727,2.752,2.329,1662.002,0.035,0.042,0.77
IRN,Asia,Iran,6/2/2022,7232443,175,192,141318,0,3.143,85058.785,2.058,2.258,1662.002,0,0.037,0.72
IRN,Asia,Iran,6/3/2022,7232614,171,190,141321,3,2.714,85060.796,2.011,2.235,1662.038,0.035,0.032,0.69
IRN,Asia,Iran,6/4/2022,7232678,64,184.429,141328,7,3.143,85061.549,0.753,2.169,1662.12,0.082,0.037,0.6
IRN,Asia,Iran,6/5/2022,7232731,53,167,141331,3,3.286,85062.172,0.623,1.964,1662.155,0.035,0.039,0.44
IRN,Asia,Iran,6/6/2022,7232790,59,141.143,141332,1,3.143,85062.866,0.694,1.66,1662.167,0.012,0.037,0.46
IRN,Asia,Iran,6/7/2022,7232929,139,127.857,141339,7,3.429,85064.501,1.635,1.504,1662.249,0.082,0.04,0.7
IRN,Asia,Iran,6/8/2022,7233117,188,121.286,141342,3,3.429,85066.712,2.211,1.426,1662.285,0.035,0.04,0.91
IRN,Asia,Iran,6/9/2022,7233319,202,125.143,141343,1,3.571,85069.087,2.376,1.472,1662.296,0.012,0.042,1.01
IRN,Asia,Iran,6/10/2022,7233472,153,122.571,141343,0,3.143,85070.887,1.799,1.442,1662.296,0,0.037,0.95
IRN,Asia,Iran,6/11/2022,7233528,56,121.429,141349,6,3,85071.545,0.659,1.428,1662.367,0.071,0.035,0.9
IRN,Asia,Iran,6/12/2022,7233688,160,136.714,141350,1,2.714,85073.427,1.882,1.608,1662.379,0.012,0.032,1
IRN,Asia,Iran,6/13/2022,7233880,192,155.714,141352,2,2.857,85075.685,2.258,1.831,1662.402,0.024,0.034,1.04
IRN,Asia,Iran,6/14/2022,7234042,162,159,141353,1,2,85077.59,1.905,1.87,1662.414,0.012,0.024,0.97
IRN,Asia,Iran,6/15/2022,7234221,179,157.714,141357,4,2.143,85079.695,2.105,1.855,1662.461,0.047,0.025,0.93
IRN,Asia,Iran,6/16/2022,7234367,146,149.714,141360,3,2.429,85081.412,1.717,1.761,1662.496,0.035,0.029,0.9
IRN,Asia,Iran,6/17/2022,7234523,156,150.143,141361,1,2.571,85083.247,1.835,1.766,1662.508,0.012,0.03,0
IRN,Asia,Iran,6/18/2022,7234597,74,152.714,141363,2,2,85084.117,0.87,1.796,1662.532,0.024,0.024,0
IRN,Asia,Iran,6/19/2022,7234757,160,152.714,141363,0,1.857,85085.999,1.882,1.796,1662.532,0,0.022,0
IRN,Asia,Iran,6/20/2022,7234988,231,158.286,141366,3,2,85088.716,2.717,1.862,1662.567,0.035,0.024,0
